match_id,team,opponent,venue,first_half_rate,second_half_rate,league
3825835,Málaga,Athletic Club,Home,0.8409090909090909,0.45098039215686275,La Liga
3825835,Athletic Club,Málaga,Away,0.9361702127659575,0.8620689655172413,La Liga
3825834,Atlético Madrid,Granada,Home,0.9111111111111111,1.2083333333333333,La Liga
3825834,Granada,Atlético Madrid,Away,0.5490196078431373,0.6086956521739131,La Liga
3825906,Sevilla,RC Deportivo La Coruña,Home,0.7758620689655172,0.975,La Liga
3825906,RC Deportivo La Coruña,Sevilla,Away,0.7254901960784313,0.3684210526315789,La Liga
3825897,Eibar,Real Sociedad,Home,1.3673469387755102,0.6862745098039216,La Liga
3825897,Real Sociedad,Eibar,Away,0.3559322033898305,1.0434782608695652,La Liga
3825889,Celta Vigo,Real Betis,Home,1.3170731707317074,0.9069767441860465,La Liga
3825889,Real Betis,Celta Vigo,Away,0.421875,0.45098039215686275,La Liga
3825833,Getafe,Real Madrid,Home,1.325,0.7368421052631579,La Liga
3825833,Real Madrid,Getafe,Away,0.65,0.7551020408163265,La Liga
3825857,Levante UD,Espanyol,Home,0.8222222222222222,0.6222222222222222,La Liga
3825857,Espanyol,Levante UD,Away,0.75,0.41304347826086957,La Liga
3825863,RC Deportivo La Coruña,Las Palmas,Home,0.8333333333333334,0.9767441860465116,La Liga
3825863,Las Palmas,RC Deportivo La Coruña,Away,0.5434782608695652,0.38636363636363635,La Liga
3825829,Athletic Club,Rayo Vallecano,Home,0.6521739130434783,0.8703703703703703,La Liga
3825829,Rayo Vallecano,Athletic Club,Away,1.0980392156862746,0.8723404255319149,La Liga
3825830,Villarreal,Getafe,Home,0.5416666666666666,0.625,La Liga
3825830,Getafe,Villarreal,Away,1.0888888888888888,0.7288135593220338,La Liga
3825832,Sporting Gijón,Celta Vigo,Home,1.3478260869565217,0.6956521739130435,La Liga
3825832,Celta Vigo,Sporting Gijón,Away,0.9361702127659575,0.49019607843137253,La Liga
3825831,Valencia,Sevilla,Home,1.0,1.0,La Liga
3825831,Sevilla,Valencia,Away,0.7272727272727273,0.7708333333333334,La Liga
3825828,Espanyol,Atlético Madrid,Home,0.9361702127659575,0.6727272727272727,La Liga
