match_id,team,opponent,venue,raw_aggression_index
3754023,AFC Bournemouth,Leicester City,Home,0.7647058823529411
3754023,Leicester City,AFC Bournemouth,Away,1.0373831775700935
3753984,Liverpool,West Ham United,Home,1.0707070707070707
3753984,West Ham United,Liverpool,Away,0.41836734693877553
3754011,Southampton,Manchester United,Home,0.7640449438202247
3754011,Manchester United,Southampton,Away,0.4536082474226804
3754010,Newcastle United,Watford,Home,0.49514563106796117
3754010,Watford,Newcastle United,Away,0.8083333333333333
3754028,Manchester City,Southampton,Home,0.7391304347826086
3754028,Southampton,Manchester City,Away,0.7529411764705882
3753996,Chelsea,Norwich City,Home,0.8354430379746836
3753996,Norwich City,Chelsea,Away,0.5647058823529412
3754025,Chelsea,Sunderland,Home,0.6161616161616161
3754025,Sunderland,Chelsea,Away,0.6666666666666666
3754068,Aston Villa,West Bromwich Albion,Home,0.6129032258064516
3754068,West Bromwich Albion,Aston Villa,Away,0.30392156862745096
3754056,Everton,Stoke City,Home,0.7701149425287356
3754056,Stoke City,Everton,Away,0.3917525773195876
3754040,Liverpool,Norwich City,Home,0.7659574468085106
3754040,Norwich City,Liverpool,Away,0.6868686868686869
3754074,Swansea City,Tottenham Hotspur,Home,0.569620253164557
3754074,Tottenham Hotspur,Swansea City,Away,0.8645833333333334
3754076,Sunderland,West Ham United,Home,0.5142857142857142
3754076,West Ham United,Sunderland,Away,0.5542168674698795
3754067,Crystal Palace,West Ham United,Home,0.6162790697674418
3754067,West Ham United,Crystal Palace,Away,0.5824175824175825
3754079,Manchester City,Newcastle United,Home,0.9753086419753086
3754079,Newcastle United,Manchester City,Away,0.4574468085106383
3754090,Newcastle United,Stoke City,Home,0.5888888888888889
3754090,Stoke City,Newcastle United,Away,0.5294117647058824
3754083,Chelsea,Crystal Palace,Home,0.8681318681318682
3754083,Crystal Palace,Chelsea,Away,0.40860215053763443
3754077,Manchester City,West Ham United,Home,1.4
3754077,West Ham United,Manchester City,Away,0.37373737373737376
3754060,Everton,Liverpool,Home,0.6888888888888889
3754060,Liverpool,Everton,Away,0.801980198019802
3754073,Chelsea,AFC Bournemouth,Home,0.851063829787234
3754073,AFC Bournemouth,Chelsea,Away,0.7452830188679245
3754085,Swansea City,Leicester City,Home,0.8823529411764706
3754085,Leicester City,Swansea City,Away,1.1263157894736842
3754051,Watford,Liverpool,Home,0.83
3754051,Liverpool,Watford,Away,0.7961165048543689
3754093,Tottenham Hotspur,Chelsea,Home,0.5888888888888889
3754093,Chelsea,Tottenham Hotspur,Away,0.978021978021978
3754046,Everton,Crystal Palace,Home,0.9880952380952381
3754046,Crystal Palace,Everton,Away,0.8865979381443299
3754072,Sunderland,Watford,Home,0.8541666666666666
3754072,Watford,Sunderland,Away,0.7244897959183674
3754082,Everton,Sunderland,Home,0.4868421052631579
3754082,Sunderland,Everton,Away,0.5652173913043478
3754106,Leicester City,Aston Villa,Home,0.9504950495049505
3754106,Aston Villa,Leicester City,Away,0.46017699115044247
3754099,Crystal Palace,West Bromwich Albion,Home,0.7558139534883721
3754099,West Bromwich Albion,Crystal Palace,Away,0.826530612244898
3754098,Chelsea,Liverpool,Home,0.9252336448598131
3754098,Liverpool,Chelsea,Away,0.8316831683168316
3754057,Tottenham Hotspur,Norwich City,Home,0.8494623655913979
